Source,Type,Name,Versions,Sample,Related,Unit,Meaning
STATUS,counter,Com_insert,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,12461820,,statements,
STATUS,counter,Com_insert_select,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,28633,,statements,Number of INSERT commands executed.
STATUS,counter,Com_install_component,8,0,,statements,Number of INSERT SELECT commands executed.
STATUS,counter,Com_install_plugin,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_kill,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,42,,statements,
STATUS,counter,Com_load,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_lock_binlog_for_backup,5.7,0,,statements,
STATUS,counter,Com_lock_instance,8,0,,statements,
STATUS,counter,Com_lock_tables,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,13003,,statements,
STATUS,counter,Com_lock_tables_for_backup,5.7,0,,statements,
STATUS,counter,Com_multi,10.2;10.3;10.4;10.5,0,,statements,
STATUS,counter,Com_optimize,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,1372,,statements,
STATUS,counter,Com_preload_keys,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_prepare_sql,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,1,,statements,
STATUS,counter,Com_purge,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_purge_before_date,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_release_savepoint,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,12859,,statements,
STATUS,counter,Com_rename_table,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,144,,statements,
STATUS,counter,Com_rename_user,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,18,,statements,
STATUS,counter,Com_repair,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,182,,statements,
STATUS,counter,Com_replace,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,572502,,statements,
STATUS,counter,Com_replace_select,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,10,,statements,
STATUS,counter,Com_replica_start,8,0,,statements,
STATUS,counter,Com_replica_stop,8,0,,statements,
STATUS,counter,Com_reset,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_resignal,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_restart,8,0,,statements,
STATUS,counter,Com_revoke,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,113,,statements,
STATUS,counter,Com_revoke_all,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_revoke_role,10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_revoke_roles,8,0,,statements,
STATUS,counter,Com_rollback,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,282,,statements,
STATUS,counter,Com_rollback_to_savepoint,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,52863,,statements,
STATUS,counter,Com_savepoint,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,12864,,statements,
STATUS,counter,Com_select,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,2215261797,,statements,
STATUS,counter,Com_set_option,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,32394182,,statements,
STATUS,counter,Com_set_password,8,0,,statements,
STATUS,counter,Com_set_resource_group,8,0,,statements,
STATUS,counter,Com_set_role,8,0,,statements,
STATUS,counter,Com_show_authors,5.5;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_binlog_events,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_binlog_status,10.5;10.6,0,,statements,
STATUS,counter,Com_show_binlogs,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,267,,statements,
STATUS,counter,Com_show_charsets,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,44,,statements,
STATUS,counter,Com_show_client_statistics,5.7,0,,statements,
STATUS,counter,Com_show_collations,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,17,,statements,
STATUS,counter,Com_show_contributors,5.5;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_create_db,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,806,,statements,
STATUS,counter,Com_show_create_event,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_create_func,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,2,,statements,
STATUS,counter,Com_show_create_package,10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_create_package_body,10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_create_proc,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_create_table,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,69907,,statements,
STATUS,counter,Com_show_create_trigger,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,34,,statements,
STATUS,counter,Com_show_create_user,5.7;8.0;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_databases,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,422,,statements,
STATUS,counter,Com_show_engine_logs,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_engine_mutex,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_engine_status,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_errors,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_events,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,827,,statements,
STATUS,counter,Com_show_explain,10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_fields,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,5840063,,statements,
STATUS,counter,Com_show_function_code,5.6;5.7;8.0,0,,statements,
STATUS,counter,Com_show_function_status,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,943,,statements,
STATUS,counter,Com_show_generic,10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_grants,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,25028,,statements,
STATUS,counter,Com_show_index_statistics,5.7,0,,statements,
STATUS,counter,Com_show_keys,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,38600,,statements,
STATUS,counter,Com_show_master_status,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4,812,,statements,
STATUS,counter,Com_show_open_tables,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_package_body_status,10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_package_status,10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_plugins,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_privileges,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_procedure_code,5.6;5.7;8.0,0,,statements,
STATUS,counter,Com_show_procedure_status,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,946,,statements,
STATUS,counter,Com_show_processlist,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,177615,,statements,
STATUS,counter,Com_show_profile,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_profiles,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_relaylog_events,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_replica_status,8,0,,statements,
STATUS,counter,Com_show_replicas,8,0,,statements,
STATUS,counter,Com_show_slave_hosts,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_show_slave_status,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,812,,statements,
STATUS,counter,Com_show_status,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,387,,statements,
STATUS,counter,Com_show_storage_engines,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,2799,,statements,
STATUS,counter,Com_show_table_statistics,5.7,0,,statements,
STATUS,counter,Com_show_table_status,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,10954,,statements,
STATUS,counter,Com_show_tables,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,2929355,,statements,
STATUS,counter,Com_show_thread_statistics,5.7,0,,statements,
STATUS,counter,Com_show_triggers,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,166,,statements,
STATUS,counter,Com_show_user_statistics,5.7,0,,statements,
STATUS,counter,Com_show_variables,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,70478,,statements,
STATUS,counter,Com_show_warnings,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,4387,,statements,
STATUS,counter,Com_shutdown,5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_signal,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_slave_start,5.5;5.6;5.7;8.0,0,,statements,
STATUS,counter,Com_slave_stop,5.5;5.6;5.7;8.0,0,,statements,
STATUS,counter,Com_start_all_slaves,10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_start_slave,10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_stmt_close,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,17181765,,statements,Prepared statement deallocation
STATUS,counter,Com_stmt_execute,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,17182142,,statements,Prepared statement execution
STATUS,counter,Com_stmt_fetch,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_stmt_prepare,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,17182348,,statements,Prepared statement creation
STATUS,counter,Com_stmt_reprepare,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,1,,statements,"Number of times statements were automatically reprepared by the server, for example, after metadata changes to tables or views referred to by the statement. A reprepare operation increments Com_stmt_reprepare, and also Com_stmt_prepare."
STATUS,counter,Com_stmt_reset,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_stmt_send_long_data,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,22435,,statements,
STATUS,counter,Com_stop_all_slaves,10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_stop_slave,10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_truncate,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,5750,,statements,
STATUS,counter,Com_uninstall_component,8,0,,statements,
STATUS,counter,Com_uninstall_plugin,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,0,,statements,
STATUS,counter,Com_unlock_binlog,5.7,0,,statements,
STATUS,counter,Com_unlock_instance,8,0,,statements,
STATUS,counter,Com_unlock_tables,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,13885,,statements,
STATUS,counter,Com_update,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,31481948,,statements,
STATUS,counter,Com_update_multi,5.5;5.6;5.7;8.0;10.1;10.2;10.3;10.4;10.5;10.6,5806,,statements,
